destination_name,country,description,key_activities,avg_cost_per_day,family_friendly,label
Marrakech Palmeraie,Morocco,"The Palmeraie in Marrakech offers luxury resorts, golf courses, and spa retreats.","luxury resorts, golf, spa",700,True,Luxury
Monaco,Monaco,"Monaco is synonymous with luxury casinos, superyachts, and high-end shopping.","casinos, yachting, luxury shopping",900,True,Luxury
Kathmandu,Nepal,"Kathmandu is a budget hub for trekkers, with cheap guesthouses and vibrant bazaars.","trekking, bazaars, guesthouses",25,True,Budget
Lviv,Ukraine,"Lviv is a UNESCO-listed city with baroque churches, coffeehouses, and literary history.","churches, museums, coffeehouses",50,True,Culture
Mexico City,Mexico,"Mexico City boasts Aztec ruins, colonial cathedrals, and a thriving arts scene.","ruins, cathedrals, art museums",70,True,Culture
Hershey,USA,Hersheypark is a chocolate-themed amusement park for families.,"Hersheypark, amusement park, family attractions",160,True,Family
Florence,Italy,"Florence is the heart of the Renaissance, boasting world-class museums, historic cathedrals, and iconic art galleries.","museums, art galleries, historic tours",150,True,Culture
Ibiza,Spain,"Ibiza is known for its luxury beach clubs, exclusive parties, and upscale resorts.","beach clubs, parties, resorts",700,True,Luxury
Whistler,Canada,"Whistler is a top destination for skiing, snowboarding, and mountain biking in North America.","skiing, snowboarding, mountain biking",200,False,Adventure
Brisbane,Australia,"Brisbane offers Lone Pine Koala Sanctuary, parks, and family attractions.","koala sanctuary, parks, family attractions",170,True,Family
Valencia,Spain,"Valencia offers affordable beaches, paella, and lively festivals for budget travelers.","beaches, paella, festivals",45,True,Budget
Valle de Cocora,Colombia,"Valle de Cocora features cloud forests, tall wax palms, and scenic trekking trails.","trekking, horseback riding, nature walks",80,False,Adventure
St. Moritz,Switzerland,"St. Moritz is a glamorous alpine resort known for upscale skiing, designer boutiques, and gourmet restaurants.","skiing, designer shopping, gourmet dining",600,True,Luxury
Krakow,Poland,"Krakow is a budget-friendly city with historic squares, affordable hostels, and hearty cuisine.","historic squares, hostels, local cuisine",35,True,Budget
Osaka,Japan,Osaka is home to Universal Studios Japan and kid-friendly museums.,"Universal Studios, museums, parks",210,True,Family
Amalfi Coast,Italy,"The Amalfi Coast features cliffside hotels, lemon groves, and a relaxed Mediterranean pace.","beach, scenic drives, spa",230,True,Relaxation
Sihanoukville,Cambodia,"Sihanoukville is a beach town with budget bungalows, street food, and backpacker bars.","bungalows, street food, bars",20,True,Budget
Istanbul,Turkey,"Istanbul bridges Europe and Asia, offering a rich tapestry of mosques, bazaars, and centuries-old palaces.","mosque visits, bazaars, palace tours",100,True,Culture
Mykonos,Greece,"Mykonos is a chic island with exclusive beach clubs, luxury villas, and vibrant nightlife.","beach clubs, luxury villas, nightlife",650,True,Luxury
Sarajevo,Bosnia & Herzegovina,"Sarajevo is a budget-friendly city with history, cafes, and affordable hostels.","history, cafes, hostels",30,True,Budget
Drakensberg,South Africa,"The Drakensberg mountains are ideal for hiking, rock climbing, and horseback riding.","hiking, rock climbing, horseback riding",100,False,Adventure
